Start epoch 0/20				
--------------------				
Epoch: [0][  0/695]	Loss 3.4589e+00	Acc@1   0.00	IoU   0.00	AP50   0.00
Epoch: [0][ 50/695]	Loss 3.4490e+00	Acc@1   0.10	IoU   0.12	AP50   0.12
Epoch: [0][100/695]	Loss 3.4216e+00	Acc@1   0.17	IoU   0.19	AP50   0.21
Epoch: [0][150/695]	Loss 3.3900e+00	Acc@1   0.20	IoU   0.22	AP50   0.25
Epoch: [0][200/695]	Loss 3.3583e+00	Acc@1   0.21	IoU   0.24	AP50   0.27
Epoch: [0][250/695]	Loss 3.3257e+00	Acc@1   0.22	IoU   0.25	AP50   0.28
Epoch: [0][300/695]	Loss 3.2963e+00	Acc@1   0.23	IoU   0.26	AP50   0.29
Epoch: [0][350/695]	Loss 3.2667e+00	Acc@1   0.24	IoU   0.27	AP50   0.30
Epoch: [0][400/695]	Loss 3.2407e+00	Acc@1   0.24	IoU   0.27	AP50   0.30
Epoch: [0][450/695]	Loss 3.2206e+00	Acc@1   0.24	IoU   0.27	AP50   0.30
Epoch: [0][500/695]	Loss 3.1989e+00	Acc@1   0.25	IoU   0.27	AP50   0.31
Epoch: [0][550/695]	Loss 3.1791e+00	Acc@1   0.25	IoU   0.28	AP50   0.31
Epoch: [0][600/695]	Loss 3.1631e+00	Acc@1   0.26	IoU   0.28	AP50   0.32
Epoch: [0][650/695]	Loss 3.1476e+00	Acc@1   0.26	IoU   0.28	AP50   0.32
Test: [ 0/97]	Acc@1   0.30	IoU   0.25	AP50   0.25	
Test: [50/97]	Acc@1   0.28	IoU   0.29	AP50   0.33	
Start epoch 1/20				
--------------------				
Epoch: [1][  0/695]	Loss 2.9303e+00	Acc@1   0.42	IoU   0.45	AP50   0.50
Epoch: [1][ 50/695]	Loss 2.9470e+00	Acc@1   0.28	IoU   0.31	AP50   0.34
Epoch: [1][100/695]	Loss 2.9415e+00	Acc@1   0.31	IoU   0.33	AP50   0.38
Epoch: [1][150/695]	Loss 2.9363e+00	Acc@1   0.31	IoU   0.33	AP50   0.38
Epoch: [1][200/695]	Loss 2.9348e+00	Acc@1   0.31	IoU   0.33	AP50   0.38
Epoch: [1][250/695]	Loss 2.9269e+00	Acc@1   0.31	IoU   0.33	AP50   0.38
Epoch: [1][300/695]	Loss 2.9235e+00	Acc@1   0.32	IoU   0.34	AP50   0.39
Epoch: [1][350/695]	Loss 2.9179e+00	Acc@1   0.32	IoU   0.34	AP50   0.39
Epoch: [1][400/695]	Loss 2.9155e+00	Acc@1   0.32	IoU   0.34	AP50   0.39
Epoch: [1][450/695]	Loss 2.9063e+00	Acc@1   0.33	IoU   0.34	AP50   0.39
Epoch: [1][500/695]	Loss 2.8995e+00	Acc@1   0.33	IoU   0.35	AP50   0.40
Epoch: [1][550/695]	Loss 2.8977e+00	Acc@1   0.33	IoU   0.35	AP50   0.40
Epoch: [1][600/695]	Loss 2.8911e+00	Acc@1   0.34	IoU   0.35	AP50   0.40
Epoch: [1][650/695]	Loss 2.8871e+00	Acc@1   0.34	IoU   0.35	AP50   0.40
Test: [ 0/97]	Acc@1   0.40	IoU   0.31	AP50   0.33	
Test: [50/97]	Acc@1   0.29	IoU   0.30	AP50   0.34	
Start epoch 2/20				
--------------------				
Epoch: [2][  0/695]	Loss 2.8113e+00	Acc@1   0.64	IoU   0.53	AP50   0.58
Epoch: [2][ 50/695]	Loss 2.8043e+00	Acc@1   0.39	IoU   0.40	AP50   0.46
Epoch: [2][100/695]	Loss 2.8044e+00	Acc@1   0.37	IoU   0.39	AP50   0.45
Epoch: [2][150/695]	Loss 2.8019e+00	Acc@1   0.36	IoU   0.38	AP50   0.45
Epoch: [2][200/695]	Loss 2.7959e+00	Acc@1   0.37	IoU   0.39	AP50   0.45
Epoch: [2][250/695]	Loss 2.7977e+00	Acc@1   0.36	IoU   0.38	AP50   0.44
Epoch: [2][300/695]	Loss 2.7968e+00	Acc@1   0.36	IoU   0.38	AP50   0.44
Epoch: [2][350/695]	Loss 2.8017e+00	Acc@1   0.36	IoU   0.38	AP50   0.44
Epoch: [2][400/695]	Loss 2.8025e+00	Acc@1   0.36	IoU   0.37	AP50   0.43
Epoch: [2][450/695]	Loss 2.8020e+00	Acc@1   0.36	IoU   0.38	AP50   0.43
Epoch: [2][500/695]	Loss 2.8004e+00	Acc@1   0.36	IoU   0.37	AP50   0.43
Epoch: [2][550/695]	Loss 2.7996e+00	Acc@1   0.36	IoU   0.37	AP50   0.43
Epoch: [2][600/695]	Loss 2.7988e+00	Acc@1   0.36	IoU   0.37	AP50   0.43
Epoch: [2][650/695]	Loss 2.7991e+00	Acc@1   0.36	IoU   0.37	AP50   0.43
Test: [ 0/97]	Acc@1   0.30	IoU   0.32	AP50   0.42	
Test: [50/97]	Acc@1   0.29	IoU   0.30	AP50   0.34	
Start epoch 3/20				
--------------------				
Epoch: [3][  0/695]	Loss 2.9874e+00	Acc@1   0.27	IoU   0.26	AP50   0.33
Epoch: [3][ 50/695]	Loss 2.7704e+00	Acc@1   0.36	IoU   0.36	AP50   0.42
Epoch: [3][100/695]	Loss 2.7640e+00	Acc@1   0.36	IoU   0.37	AP50   0.43
Epoch: [3][150/695]	Loss 2.7680e+00	Acc@1   0.37	IoU   0.37	AP50   0.43
Epoch: [3][200/695]	Loss 2.7579e+00	Acc@1   0.37	IoU   0.38	AP50   0.44
Epoch: [3][250/695]	Loss 2.7594e+00	Acc@1   0.37	IoU   0.37	AP50   0.43
Epoch: [3][300/695]	Loss 2.7590e+00	Acc@1   0.36	IoU   0.37	AP50   0.43
Epoch: [3][350/695]	Loss 2.7590e+00	Acc@1   0.37	IoU   0.37	AP50   0.43
Epoch: [3][400/695]	Loss 2.7578e+00	Acc@1   0.37	IoU   0.37	AP50   0.43
Epoch: [3][450/695]	Loss 2.7551e+00	Acc@1   0.37	IoU   0.37	AP50   0.43
Epoch: [3][500/695]	Loss 2.7540e+00	Acc@1   0.37	IoU   0.37	AP50   0.43
Epoch: [3][550/695]	Loss 2.7514e+00	Acc@1   0.37	IoU   0.37	AP50   0.43
Epoch: [3][600/695]	Loss 2.7494e+00	Acc@1   0.37	IoU   0.37	AP50   0.43
Epoch: [3][650/695]	Loss 2.7493e+00	Acc@1   0.37	IoU   0.37	AP50   0.43
Test: [ 0/97]	Acc@1   0.30	IoU   0.32	AP50   0.42	
Test: [50/97]	Acc@1   0.30	IoU   0.31	AP50   0.35	
Start epoch 4/20				
--------------------				
Epoch: [4][  0/695]	Loss 2.6949e+00	Acc@1   0.42	IoU   0.43	AP50   0.50
Epoch: [4][ 50/695]	Loss 2.6835e+00	Acc@1   0.41	IoU   0.40	AP50   0.47
Epoch: [4][100/695]	Loss 2.7055e+00	Acc@1   0.38	IoU   0.39	AP50   0.45
Epoch: [4][150/695]	Loss 2.7114e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][200/695]	Loss 2.7137e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][250/695]	Loss 2.7124e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][300/695]	Loss 2.7108e+00	Acc@1   0.38	IoU   0.38	AP50   0.44
Epoch: [4][350/695]	Loss 2.7122e+00	Acc@1   0.38	IoU   0.38	AP50   0.44
Epoch: [4][400/695]	Loss 2.7111e+00	Acc@1   0.38	IoU   0.38	AP50   0.44
Epoch: [4][450/695]	Loss 2.7084e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][500/695]	Loss 2.7054e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][550/695]	Loss 2.7061e+00	Acc@1   0.38	IoU   0.39	AP50   0.45
Epoch: [4][600/695]	Loss 2.7051e+00	Acc@1   0.38	IoU   0.38	AP50   0.45
Epoch: [4][650/695]	Loss 2.7063e+00	Acc@1   0.38	IoU   0.38	AP50   0.44
Test: [ 0/97]	Acc@1   0.40	IoU   0.39	AP50   0.50	
Test: [50/97]	Acc@1   0.30	IoU   0.30	AP50   0.34	
Start epoch 5/20				
--------------------				
Epoch: [5][  0/695]	Loss 2.6991e+00	Acc@1   0.55	IoU   0.49	AP50   0.58
Epoch: [5][ 50/695]	Loss 2.6768e+00	Acc@1   0.39	IoU   0.41	AP50   0.47
Epoch: [5][100/695]	Loss 2.6940e+00	Acc@1   0.38	IoU   0.39	AP50   0.45
Epoch: [5][150/695]	Loss 2.6874e+00	Acc@1   0.40	IoU   0.40	AP50   0.47
Epoch: [5][200/695]	Loss 2.6898e+00	Acc@1   0.39	IoU   0.40	AP50   0.46
Epoch: [5][250/695]	Loss 2.6933e+00	Acc@1   0.39	IoU   0.40	AP50   0.46
Epoch: [5][300/695]	Loss 2.6931e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [5][350/695]	Loss 2.6965e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [5][400/695]	Loss 2.6968e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
Epoch: [5][450/695]	Loss 2.6964e+00	Acc@1   0.39	IoU   0.39	AP50   0.46
Epoch: [5][500/695]	Loss 2.6946e+00	Acc@1   0.39	IoU   0.39	AP50   0.45
