                    
Epoch: [0][ 0/695] Loss 3.4738e+00 Acc@1  0.08 IoU  0.11 AP50  0.08						
Epoch: [0][ 50/695] Loss 3.2500e+00 Acc@1  0.20 IoU  0.24 AP50  0.26						
Epoch: [0][100/695] Loss 3.0830e+00 Acc@1  0.26 IoU  0.29 AP50  0.33						
Epoch: [0][150/695] Loss 3.0092e+00 Acc@1  0.28 IoU  0.31 AP50  0.35						
Epoch: [0][200/695] Loss 2.9645e+00 Acc@1  0.29 IoU  0.32 AP50  0.36						
Epoch: [0][250/695] Loss 2.9323e+00 Acc@1  0.31 IoU  0.34 AP50  0.39						
Epoch: [0][300/695] Loss 2.9114e+00 Acc@1  0.31 IoU  0.34 AP50  0.39						
Epoch: [0][350/695] Loss 2.8937e+00 Acc@1  0.31 IoU  0.34 AP50  0.39						
Epoch: [0][400/695] Loss 2.8794e+00 Acc@1  0.32 IoU  0.35 AP50  0.40						
Epoch: [0][450/695] Loss 2.8678e+00 Acc@1  0.32 IoU  0.35 AP50  0.40						
Epoch: [0][500/695] Loss 2.8583e+00 Acc@1  0.33 IoU  0.35 AP50  0.41						
Epoch: [0][550/695] Loss 2.8506e+00 Acc@1  0.33 IoU  0.35 AP50  0.41						
Epoch: [0][600/695] Loss 2.8428e+00 Acc@1  0.33 IoU  0.36 AP50  0.41						
Epoch: [0][650/695] Loss 2.8397e+00 Acc@1  0.33 IoU  0.36 AP50  0.41						
                    
Test: [ 0/97] Acc@1  0.40 IoU  0.47 AP50  0.60						
Test: [50/97] Acc@1  0.32 IoU  0.33 AP50  0.39						
                    
Epoch: [1][ 0/695] Loss 2.6876e+00 Acc@1  0.58 IoU  0.48 AP50  0.58						
Epoch: [1][ 50/695] Loss 2.7319e+00 Acc@1  0.37 IoU  0.38 AP50  0.45						
Epoch: [1][100/695] Loss 2.7273e+00 Acc@1  0.37 IoU  0.38 AP50  0.44						
Epoch: [1][150/695] Loss 2.7312e+00 Acc@1  0.37 IoU  0.38 AP50  0.44						
Epoch: [1][200/695] Loss 2.7279e+00 Acc@1  0.37 IoU  0.38 AP50  0.44						
Epoch: [1][250/695] Loss 2.7257e+00 Acc@1  0.37 IoU  0.38 AP50  0.44						
Epoch: [1][300/695] Loss 2.7306e+00 Acc@1  0.36 IoU  0.38 AP50  0.44						
Epoch: [1][350/695] Loss 2.7299e+00 Acc@1  0.36 IoU  0.38 AP50  0.44						
Epoch: [1][400/695] Loss 2.7316e+00 Acc@1  0.36 IoU  0.38 AP50  0.44						
Epoch: [1][450/695] Loss 2.7314e+00 Acc@1  0.36 IoU  0.37 AP50  0.43						
Epoch: [1][500/695] Loss 2.7300e+00 Acc@1  0.36 IoU  0.38 AP50  0.44						
Epoch: [1][550/695] Loss 2.7301e+00 Acc@1  0.36 IoU  0.38 AP50  0.44						
Epoch: [1][600/695] Loss 2.7353e+00 Acc@1  0.36 IoU  0.37 AP50  0.43						
Epoch: [1][650/695] Loss 2.7357e+00 Acc@1  0.36 IoU  0.37 AP50  0.43						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.32 IoU  0.34 AP50  0.40						
                    
Epoch: [2][ 0/695] Loss 2.7369e+00 Acc@1  0.25 IoU  0.23 AP50  0.25						
Epoch: [2][ 50/695] Loss 2.6690e+00 Acc@1  0.36 IoU  0.36 AP50  0.42						
Epoch: [2][100/695] Loss 2.6905e+00 Acc@1  0.35 IoU  0.37 AP50  0.43						
Epoch: [2][150/695] Loss 2.6844e+00 Acc@1  0.37 IoU  0.38 AP50  0.45						
Epoch: [2][200/695] Loss 2.6898e+00 Acc@1  0.36 IoU  0.38 AP50  0.44						
Epoch: [2][250/695] Loss 2.6951e+00 Acc@1  0.37 IoU  0.38 AP50  0.45						
Epoch: [2][300/695] Loss 2.7002e+00 Acc@1  0.37 IoU  0.38 AP50  0.45						
Epoch: [2][350/695] Loss 2.7036e+00 Acc@1  0.37 IoU  0.38 AP50  0.45						
Epoch: [2][400/695] Loss 2.7045e+00 Acc@1  0.37 IoU  0.38 AP50  0.44						
Epoch: [2][450/695] Loss 2.7045e+00 Acc@1  0.37 IoU  0.38 AP50  0.45						
Epoch: [2][500/695] Loss 2.7045e+00 Acc@1  0.37 IoU  0.38 AP50  0.44						
Epoch: [2][550/695] Loss 2.7054e+00 Acc@1  0.37 IoU  0.38 AP50  0.44						
Epoch: [2][600/695] Loss 2.7067e+00 Acc@1  0.36 IoU  0.38 AP50  0.44						
Epoch: [2][650/695] Loss 2.7078e+00 Acc@1  0.36 IoU  0.38 AP50  0.44						
                    
Test: [ 0/97] Acc@1  0.30 IoU  0.39 AP50  0.50						
Test: [50/97] Acc@1  0.31 IoU  0.32 AP50  0.38						
                    
Epoch: [3][ 0/695] Loss 2.5842e+00 Acc@1  0.36 IoU  0.42 AP50  0.55						
Epoch: [3][ 50/695] Loss 2.6925e+00 Acc@1  0.39 IoU  0.39 AP50  0.46						
Epoch: [3][100/695] Loss 2.6800e+00 Acc@1  0.38 IoU  0.39 AP50  0.46						
Epoch: [3][150/695] Loss 2.6638e+00 Acc@1  0.39 IoU  0.40 AP50  0.47						
Epoch: [3][200/695] Loss 2.6664e+00 Acc@1  0.38 IoU  0.40 AP50  0.47						
Epoch: [3][250/695] Loss 2.6699e+00 Acc@1  0.39 IoU  0.40 AP50  0.46						
Epoch: [3][300/695] Loss 2.6724e+00 Acc@1  0.38 IoU  0.39 AP50  0.46						
Epoch: [3][350/695] Loss 2.6750e+00 Acc@1  0.38 IoU  0.39 AP50  0.46						
Epoch: [3][400/695] Loss 2.6769e+00 Acc@1  0.38 IoU  0.39 AP50  0.46						
Epoch: [3][450/695] Loss 2.6795e+00 Acc@1  0.38 IoU  0.39 AP50  0.46						
Epoch: [3][500/695] Loss 2.6797e+00 Acc@1  0.38 IoU  0.39 AP50  0.45						
Epoch: [3][550/695] Loss 2.6788e+00 Acc@1  0.38 IoU  0.39 AP50  0.46						
Epoch: [3][600/695] Loss 2.6784e+00 Acc@1  0.38 IoU  0.39 AP50  0.46						
Epoch: [3][650/695] Loss 2.6800e+00 Acc@1  0.38 IoU  0.39 AP50  0.45						
                    
Test: [ 0/97] Acc@1  0.40 IoU  0.39 AP50  0.50						
Test: [50/97] Acc@1  0.31 IoU  0.33 AP50  0.41						
                    
Epoch: [4][ 0/695] Loss 2.7100e+00 Acc@1  0.40 IoU  0.30 AP50  0.40						
Epoch: [4][ 50/695] Loss 2.6245e+00 Acc@1  0.42 IoU  0.42 AP50  0.50						
Epoch: [4][100/695] Loss 2.6283e+00 Acc@1  0.41 IoU  0.40 AP50  0.47						
Epoch: [4][150/695] Loss 2.6291e+00 Acc@1  0.40 IoU  0.40 AP50  0.47						
Epoch: [4][200/695] Loss 2.6255e+00 Acc@1  0.40 IoU  0.40 AP50  0.47						
Epoch: [4][250/695] Loss 2.6225e+00 Acc@1  0.40 IoU  0.40 AP50  0.47						
Epoch: [4][300/695] Loss 2.6245e+00 Acc@1  0.40 IoU  0.40 AP50  0.47						
Epoch: [4][350/695] Loss 2.6251e+00 Acc@1  0.40 IoU  0.39 AP50  0.46						
Epoch: [4][400/695] Loss 2.6231e+00 Acc@1  0.40 IoU  0.40 AP50  0.47						
Epoch: [4][450/695] Loss 2.6188e+00 Acc@1  0.40 IoU  0.40 AP50  0.47						
Epoch: [4][500/695] Loss 2.6184e+00 Acc@1  0.40 IoU  0.40 AP50  0.47						
Epoch: [4][550/695] Loss 2.6179e+00 Acc@1  0.40 IoU  0.40 AP50  0.47						
Epoch: [4][600/695] Loss 2.6173e+00 Acc@1  0.40 IoU  0.40 AP50  0.47						
Epoch: [4][650/695] Loss 2.6149e+00 Acc@1  0.41 IoU  0.40 AP50  0.47						
                    
Test: [ 0/97] Acc@1  0.50 IoU  0.48 AP50  0.60						
Test: [50/97] Acc@1  0.30 IoU  0.33 AP50  0.39						
                    
Epoch: [5][ 0/695] Loss 2.5742e+00 Acc@1  0.42 IoU  0.35 AP50  0.42						
Epoch: [5][ 50/695] Loss 2.5934e+00 Acc@1  0.41 IoU  0.39 AP50  0.47						
Epoch: [5][100/695] Loss 2.5839e+00 Acc@1  0.41 IoU  0.40 AP50  0.47						
Epoch: [5][150/695] Loss 2.5713e+00 Acc@1  0.42 IoU  0.41 AP50  0.48						
Epoch: [5][200/695] Loss 2.5693e+00 Acc@1  0.42 IoU  0.41 AP50  0.48						
Epoch: [5][250/695] Loss 2.5735e+00 Acc@1  0.42 IoU  0.40 AP50  0.47						
Epoch: [5][300/695] Loss 2.5744e+00 Acc@1  0.42 IoU  0.40 AP50  0.47						
Epoch: [5][350/695] Loss 2.5748e+00 Acc@1  0.42 IoU  0.41 AP50  0.48						
Epoch: [5][400/695] Loss 2.5755e+00 Acc@1  0.42 IoU  0.41 AP50  0.48						
Epoch: [5][450/695] Loss 2.5759e+00 Acc@1  0.42 IoU  0.41 AP50  0.48						
Epoch: [5][500/695] Loss 2.5740e+00 Acc@1  0.42 IoU  0.41 AP50  0.48						
Epoch: [5][550/695] Loss 2.5747e+00 Acc@1  0.42 IoU  0.41 AP50  0.48						
Epoch: [5][600/695] Loss 2.5758e+00 Acc@1  0.42 IoU  0.41 AP50  0.48						
Epoch: [5][650/695] Loss 2.5772e+00 Acc@1  0.42 IoU  0.41 AP50  0.48						
                    
Test: [ 0/97] Acc@1  0.40 IoU  0.47 AP50  0.60						
Test: [50/97] Acc@1  0.31 IoU  0.33 AP50  0.39						
                    
Epoch: [6][ 0/695] Loss 2.5000e+00 Acc@1  0.42 IoU  0.41 AP50  0.42						
Epoch: [6][ 50/695] Loss 2.5694e+00 Acc@1  0.41 IoU  0.40 AP50  0.48						
Epoch: [6][100/695] Loss 2.5578e+00 Acc@1  0.42 IoU  0.42 AP50  0.49						
Epoch: [6][150/695] Loss 2.5557e+00 Acc@1  0.42 IoU  0.42 AP50  0.49						
Epoch: [6][200/695] Loss 2.5525e+00 Acc@1  0.42 IoU  0.42 AP50  0.49						
Epoch: [6][250/695] Loss 2.5547e+00 Acc@1  0.42 IoU  0.42 AP50  0.49						
Epoch: [6][300/695] Loss 2.5557e+00 Acc@1  0.43 IoU  0.42 AP50  0.49						
Epoch: [6][350/695] Loss 2.5560e+00 Acc@1  0.43 IoU  0.42 AP50  0.49						
Epoch: [6][400/695] Loss 2.5555e+00 Acc@1  0.42 IoU  0.42 AP50  0.49						
Epoch: [6][450/695] Loss 2.5525e+00 Acc@1  0.43 IoU  0.42 AP50  0.49						
Epoch: [6][500/695] Loss 2.5523e+00 Acc@1  0.43 IoU  0.42 AP50  0.49						
Epoch: [6][550/695] Loss 2.5538e+00 Acc@1  0.43 IoU  0.42 AP50  0.49						
